id,rate
1001,110.79
1003,320.1776
1005,48.3966
1007,54.0144
1009,144.2975
1011,51.6672
1013,38.5624
1015,197.0572
1017,85.19
1019,67.6962
1021,118.6137
1023,58.6212
1025,72.3405
1027,27.104
1029,37.7
1031,91.6362
1033,109.086
1035,45.612
1037,30.4808
1039,75.828
1041,43.3287
1043,186.9647
1045,94.0196
1047,104.2775
1049,149.2365
1051,153.8563
1053,94.3325
1055,176.0027
1057,50.622
1059,79.0025
1061,66.78
1063,26.5143
1065,54.6624
1067,34.38
1069,166.7088
1071,157.995
1073,1123.3481
1075,38.0322
1077,158.2632
1079,87.0402
1081,200.5315
1083,172.4953
1085,50.784
1087,56.3325
1089,490.4186
1091,52.286
1093,75.6775
1095,246.0536
1097,830.246
1099,70.2304
1101,294.0457
1103,227.2533
1105,30.4606
1107,63.1315
1109,80.1336
1111,74.3787
1113,149.02
1115,216.7425
1117,268.6515
1119,38.1814
1121,203.305
1123,86.4465
1125,323.5392
1127,229.1485
1129,50.502
1131,52.1606
1133,94.185
2013,0.0
2016,0.0
2020,210.707
2050,0.0
2060,0.0
2068,0.0
2070,0.0
2090,99.357
2100,0.0
2110,16.203
2122,86.2155
2130,0.0
2150,0.0
2164,0.0
2170,117.4584
2180,15.7072
2185,0.0
2188,0.0
2201,0.0
2220,0.0
2232,0.0
2240,15.2482
2261,0.0
2270,0.0
2280,0.0
2282,0.0
2290,0.0
4001,423.7852
4003,203.9168
4005,357.9732
4007,143.4213
4009,45.5484
4011,32.711
4012,80.924
4013,4087.191
4015,366.0498
4017,389.1636
4019,1205.4192
4021,602.877
4023,70.0425
4025,350.1504
4027,264.2211
5001,42.7662
5003,58.6544
5005,77.6283
5007,315.0173
5009,81.8312
5011,28.9848
5013,14.0454
5015,72.1344
5017,25.714
5019,49.6672
5021,45.354
5023,87.1556
5025,27.8817
5027,55.0459
5029,59.0324
5031,194.7842
5033,86.3758
5035,94.1412
5037,55.1264
5039,23.265
5041,35.5656
5043,52.1416
5045,169.0752
5047,35.61
5049,36.375
5051,223.8406
5053,54.432
5055,104.8656
5057,66.981
5059,96.7672
5061,47.25
5063,118.2688
5065,29.6692
5067,59.6156
5069,137.3643
5071,41.608
5073,34.8439
5075,57.5654
5077,30.566
5079,29.337
5081,28.8236
5083,57.0908
5085,164.5811
5087,39.35
5089,49.101
5091,99.8844
5093,110.5875
5095,35.6354
5097,23.6132
5099,26.169
5101,13.4368
5103,84.4152
5105,27.6615
5107,59.79
5109,20.9456
5111,53.3412
5113,64.72
5115,113.7618
5117,25.7424
5119,628.3232
5121,43.9275
5123,51.1081
5125,162.0066
5127,29.9404
5129,27.7515
5131,164.8088
5133,36.5946
5135,49.0274
5137,27.4868
5139,72.4086
5141,52.2381
5143,242.8712
5145,180.7616
5147,20.039
5149,68.0481
6001,966.5526
6003,0.0
6005,62.4614
6007,336.3615
6009,102.6352
6011,36.4123
6013,777.9373
6015,76.1936
6017,201.3957
6019,1352.3636
6021,41.9325
6023,242.6562
6025,214.9092
6027,23.933
6029,1311.8835
6031,225.4035
6033,160.46
6035,47.6235
6037,7081.6935
6039,309.096
6041,104.3
6043,35.364
6045,149.3773
6047,399.5295
6049,24.3621
6051,0.0
6053,388.2096
6055,141.667
6057,138.4502
6059,1887.309
6061,260.1858
6063,22.3272
6065,2562.1981
6067,1333.8234
6069,69.9204
6071,2535.1428
6073,2610.7448
6075,340.9876
6077,858.7164
6079,279.083
6081,379.2905
6083,352.5344
6085,1136.763
6087,217.4432
6089,269.706
6091,0.0
6093,91.6188
6095,431.131
6097,350.2044
6099,691.5961
6101,153.3552
6103,107.2139
6105,27.657
6107,687.297
6109,91.5127
6111,676.9424
6113,186.831
6115,103.5524
8001,432.6462
8003,40.4425
8005,433.1747
8007,23.2636
8009,19.3185
8011,0.0
8013,219.3331
8014,31.069
8015,27.5445
8017,14.4067
8019,0.0
8021,21.489
8023,21.408
8025,14.472
8027,0.0
8029,71.688
8031,597.4758
8033,0.0
8035,125.8552
8037,52.921
8039,33.873
8041,663.519
8043,65.1028
8045,109.1759
8047,0.0
8049,0.0
8051,20.4425
8053,0.0
8055,23.2632
8057,0.0
8059,446.8024
8061,0.0
8063,22.6016
8065,16.9211
8067,107.978
8069,259.2976
8071,39.3456
8073,18.734
8075,24.7764
8077,222.3825
8079,0.0
8081,18.0992
8083,64.43
8085,53.1349
8087,53.8232
8089,44.3712
8091,0.0
8093,31.0555
8095,0.0
8097,0.0
8099,21.6612
8101,226.625
8103,17.4382
8105,22.0533
8107,28.638
8109,0.0
8111,0.0
8113,0.0
8115,0.0
8117,17.6424
8119,30.4057
8121,17.208
8123,388.738
8125,19.3838
9001,567.2628
9003,718.388
9005,184.993
9007,131.9544
9009,689.0216
9011,246.3084
9013,136.2303
9015,140.3976
10001,223.5831
10003,552.778
10005,379.5282
11001,461.2251
12001,282.018
12003,67.7325
12005,286.376
12007,58.7444
12009,723.9505
12011,2056.1585
12013,23.2512
12015,219.0162
12017,278.754
12019,279.7172
12021,383.6547
12023,196.7853
12027,70.024
12029,74.7629
12031,1256.7772
12033,497.0544
12035,204.816
12037,24.8115
12039,106.4463
12041,56.0901
12043,42.2685
12045,36.6712
12047,29.5008
12049,74.1663
12051,115.515
12053,316.539
12055,186.6484
12057,1711.1874
12059,51.09
12061,231.608
12063,112.2423
12065,49.175
12067,18.5535
12069,568.242
12071,951.3182
12073,283.988
12075,126.7616
12077,18.392
12079,72.2202
12081,422.0952
12083,644.4173
12085,199.4096
12086,2929.1614
12087,146.5584
12089,176.2237
12091,275.1168
12093,90.0427
12095,1378.3011
12097,434.2954
12099,1677.252
12101,825.0627
12103,1219.5274
12105,1078.8846
12107,209.2147
12109,305.0866
12111,378.3364
12113,261.4752
12115,436.6582
12117,442.516
12119,171.525
12121,123.2616
12123,51.9386
12125,39.494
12127,913.5558
12129,72.2936
12131,153.825
12133,63.5726
13001,55.62
13003,31.2474
